NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Outdoor Phoenix,B,01/06/2022,3,31/05/2025,Monmr,480m,[5],4.46,3444,5th,4¼,Superstar Aria,"EP,W,EvCh",29.24,20,28.2,15-Aug,A9,29.79
Outdoor Phoenix,B,01/06/2022,3,26/05/2025,Monmr,480m,[6],4.5,2333,5th,2¾,Cantcallhimaero,"EP,W,EvCh",29.4,N,27.9,02-Jan,A9,29.62
Outdoor Phoenix,B,01/06/2022,3,20/05/2025,Monmr,480m,[5],4.47,1111,1st,½,Tullymurry Otto,"QAw,W,ALd",29.4,20,27.5,6/4F,A10,29.6
Outdoor Phoenix,B,01/06/2022,3,12/05/2025,Monmr,480m,[5],4.47,3343,5th,8½,Transfer Aaliyah,"EP,W,Crd1/4&4",29.09,30,27.5,07-Apr,A10,30.06
Outdoor Phoenix,B,01/06/2022,3,07/05/2025,Monmr,264m,[6],,1-1-,1st,1¼,Elderberry Mhysa,"QAw,W,ALd",16.01,-10,27.6,06-Jan,D4,15.91
Outdoor Phoenix,B,01/06/2022,3,03/05/2025,Monmr,480m,[6],4.5,2111,3rd,¾,Tullymurry Rapid,"EP,W,Ld1-NrLn",29.64,N,27.3,EvsF,A10,29.69
Outdoor Phoenix,B,01/06/2022,3,28/04/2025,Monmr,480m,[6],4.48,2222,3rd,3¼,Winterfield May,"EP,W,EvCh",29.47,N,27.1,07-Feb,A10,29.73
Outdoor Phoenix,B,01/06/2022,3,21/04/2025,Monmr,480m,[5],4.49,1112,2nd,2¾,Transfer Aaliyah,"W,Ld-3",29.91,-40,27.3,,T2,29.74
Outdoor Phoenix,B,01/06/2022,3,15/04/2025,Monmr,264m,[4],,,,,Solo,Mid-W,15.77,5,27.3,,T1,15.82
Outdoor Phoenix,B,01/06/2022,3,01/03/2025,Monmr,480m,[6],,,NR,,Lukey Bee,Lame,29.31,N,,,A9,0
