NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Droopys Natalie,B,Jan-23,2,12/04/2025,Yrmth,462m,[2],5.36,3556,6th,6¼,Farneys Hazel,"Rls-Mid,Fcd-CkW1,Crd3",28.27,10,26.8,04-Jan,A3,28.87
Droopys Natalie,B,Jan-23,2,06/04/2025,Yrmth,462m,[2],5.34,2111,1st,1½,Stonepark Harry,"Rls-Mid,SnLd",28.3,N,26.7,15/8F,A4,28.3
Droopys Natalie,B,Jan-23,2,30/03/2025,Yrmth,462m,[2],5.42,2222,4th,2½,Nova Boots,"Rls-Mid,Crd1",28.8,-20,27,13/8F,A3,28.81
Droopys Natalie,B,Jan-23,2,24/03/2025,Yrmth,462m,[2],5.37,3443,3rd,4,Naphill,"CrdStt,Rls",28.33,N,26.7,05-Jan,A3,28.66
Droopys Natalie,B,Jan-23,2,19/03/2025,Yrmth,462m,[3],5.33,2222,2nd,1,Only The Third,Mid-Rls,28.31,N,26.8,,T4,28.39
Droopys Natalie,B,Jan-23,2,15/03/2025,Yrmth,462m,[4],5.38,3222,2nd,2¼,Glenbowen Jazz,"Mid-Rls,Crd1",28.57,N,27,,T4,28.76
Droopys Natalie,B,Jan-23,2,03/03/2025,Yrmth,462m,[3],5.22,1111,2nd,1½,Epic Fire,"Rls-Mid,Ld-NrLn",28.47,N,27.1,,T4,28.59
Glideaway Hugo,D,Jun-21,4,15/06/2025,Sheff,500m,[2],4.4,5665,5th,16¾,Good Knick,Bmp1/4&2,28.9,20,33.4,33/1,OR,30.45
Glideaway Hugo,D,Jun-21,4,02/06/2025,Yrmth,462m,[2],5.37,2333,3rd,8¼,Cassandras Girl,"EP,Rls-Mid,BdCrd1",27.8,N,33.4,06-Jan,A1,28.46
Glideaway Hugo,D,Jun-21,4,28/05/2025,Yrmth,462m,[2],5.53,5554,4th,9,Laugh Alot,Rls-Mid,27.72,N,34.1,07-Jan,A1,28.45
Glideaway Hugo,D,Jun-21,4,24/05/2025,Yrmth,462m,[2],5.44,2343,3rd,3,Shes Joking,"Rls-Mid,Crd1/4",27.76,20,34,04-Jan,A1,28.2
Glideaway Hugo,D,Jun-21,4,17/05/2025,Yrmth,462m,[2],5.42,1333,3rd,5,Murrow Inkosi,"QAw,Rls-Mid,Crd2",27.67,N,33.7,05-Jan,A1,28.08
Glideaway Hugo,D,Jun-21,4,10/05/2025,Yrmth,659m,[2],16.28,1111,1st,1¼,Puckane Sydney,"Rls-Mid,ALd",40.52,30,33.4,05-Feb,S2,40.82
Glideaway Hugo,D,Jun-21,4,05/05/2025,Yrmth,462m,[2],5.35,1311,1st,1¼,Droopys Halley,"QAw,Rls-Mid,Ld1/2",27.89,10,33.4,12-Jan,A1,27.99
Glideaway Hugo,D,Jun-21,4,28/04/2025,Yrmth,462m,[2],5.27,1111,1st,3,Leeview Glory,"Rls-Mid,ALd",27.89,N,33.3,05-Jan,A1,27.89
Glideaway Hugo,D,Jun-21,4,23/04/2025,Yrmth,462m,[2],5.42,2334,4th,3¼,Dick Turpin,Rls-Mid,27.81,N,33.3,10-Jan,A1,28.08
Glideaway Hugo,D,Jun-21,4,05/04/2025,Yrmth,659m,[3],16.62,2246,6th,dist,Pin All In,"Rls-Mid,Crd3,Fdd",40.59,N,33.2,12-Jan,OR,0
Glideaway Hugo,D,Jun-21,4,31/03/2025,Yrmth,462m,[2],5.31,2222,2nd,1,Murrow Inkosi,"Rls,AW,2ndRnOn",27.65,10,33,06-Jan,A1,27.84
Glideaway Hugo,D,Jun-21,4,22/03/2025,Yrmth,659m,[2],16.59,2211,1st,shd,Pin All In,"Rls,Ld2",41.33,N,33.7,04-Jan,OR,41.33
Glideaway Hugo,D,Jun-21,4,16/03/2025,Yrmth,462m,[1],5.47,5322,1st,1¼,Oh So Lucky,"Rls,Ld4",28.02,N,33.6,05-Jan,A1,28.02
Glideaway Hugo,D,Jun-21,4,10/03/2025,Yrmth,462m,[1],5.34,5443,3rd,¾,Swift Bankrupt,"Rls-Mid,RnOn",27.99,N,33.8,20-Jan,A1,28.06
Glideaway Hugo,D,Jun-21,4,02/03/2025,Yrmth,462m,[2],5.39,5566,5th,10¾,Good Extra,"Rls-Mid,Crd1,Blk1/4,RnOn",27.92,N,34.1,14-Jan,A1,28.78
